CDP Sector,CDP Emissions reduction activity,reclass_sector,reclass_action_category
Buildings,Building codes and standards,Buildings,Building codes and standards
Buildings,Building performance rating and reporting,Buildings,Building performance rating and reporting
Buildings,Building standards,Buildings,Building standards
Buildings,Carbon emissions reduction from industry,Buildings,Carbon emissions reduction from industry
Buildings,Energy efficiency/ retrofit measures,Buildings,Energy efficiency/ retrofit measures
Buildings,On-site renewable energy generation,Buildings,On-site renewable energy generation
Buildings,Switching to low-carbon fuels,Buildings,Switching to low-carbon fuels
Buildings,(blank),Buildings,
Community-Scale Development,Brownfield redevelopment programs,Sustainable communities & urban land use,Brownfield redevelopment programs
Community-Scale Development,Building standards,Sustainable communities & urban land use,Building standards
Community-Scale Development,Compact cities,Sustainable communities & urban land use,Compact cities
Community-Scale Development,Eco-district development strategy,Sustainable communities & urban land use,Eco-district development strategy
Community-Scale Development,Green space and/ or biodiversity preservation and expansion,Sustainable communities & urban land use,Green space and/ or biodiversity preservation and expansion
Community-Scale Development,Low carbon industrial zones,Sustainable communities & urban land use,Low carbon industrial zones
Community-Scale Development,Low-carbon industrial zones,Sustainable communities & urban land use,Low-carbon industrial zones
Community-Scale Development,Transit oriented development,Sustainable communities & urban land use,Transit oriented development
Community-Scale Development,Urban agriculture,Sustainable communities & urban land use,Urban agriculture
Community-Scale Development,(blank),Sustainable communities & urban land use,
Education,Climate change-focused curriculum,Education,Climate change-focused curriculum
Education , climate change-focused curriculum,Education,Climate change-focused curriculum
Energy Demand in Buildings,Building codes and standards,Buildings,Building codes and standards
Energy Demand in Buildings,Building performance rating and reporting,Buildings,Building performance rating and reporting
Energy Demand in Buildings,Carbon emissions reduction from industry,Buildings,Carbon emissions reduction from industry
Energy Demand in Buildings,Clean energy procurement strategies,Buildings,Clean energy procurement strategies
Energy Demand in Buildings,Combined heat and power,Buildings,Combined heat and power
Energy Demand in Buildings,Energy efficiency/retrofit measures,Buildings,Energy efficiency/retrofit measures
Energy Demand in Buildings,Financing mechanisms for retrofit,Buildings,Financing mechanisms for retrofit
Energy Demand in Buildings,Low or zero carbon energy supply generation,Buildings,Low or zero carbon energy supply generation
Energy Demand in Buildings,Optimize traditional power/energy production,Buildings,Optimize traditional power/energy production
Energy Demand in Buildings,Renewable on-Site energy generation,Buildings,Renewable on-Site energy generation
Energy Demand in Buildings,Smart grid,Buildings,Smart grid
Energy Demand in Buildings,Switching to low-carbon fuels,Buildings,Switching to low-carbon fuels
Energy Demand in Buildings,Transmission and distribution loss reduction,Buildings,Transmission and distribution loss reduction
Energy Demand in Buildings , Building codes and standards,Buildings,Building codes and standards
Energy Demand in Buildings , Building performance rating and reporting,Buildings,Building performance rating and reporting
Energy Demand in Buildings , Energy efficiency/retrofit measures,Buildings,Energy efficiency/retrofit measures
