City	Country	Continent	Category	Sub-Category	Action Type	Action Name	Year	Action description	Source(s)	Link(s)	GCOM ID	CDP Account number	Character count of description	description usability
Madrid	Spain	Europe	Water		Water recycling and reclamation		2017		CDP			31171	0	
Rabat	Morocco	Africa	Other		Other		2017	Transport en tramway	CDP			44073	20	
Santarém	Portugal	Europe	Waste		Waste prevention policies and programs		2017		CDP			50672	0	
Helsinki	Finland	Europe	Water		Wastewater to energy initiatives		2017	Existing biogas plants	CDP			8242	22	
Winnipeg	Canada	North America	Other		Other		2017	see comment section of 7.1a	CDP			50579	27	
Riga	Latvia	Europe	Mass Transit		Smart public transport		2017	New vehicles: buses and trams	CDP			36426	29	
Rabat	Morocco	Africa	Other		Other		2017	Utilisation des lampes à basse consommation en éclairage public	CDP			44073	63	
Abasan Al-Kabira	State of Palestine	South and West Asia	Buildings		Building codes and standards		2017		CDP			63616	0	
Abasan Al-Kabira	State of Palestine	South and West Asia	Buildings		Building performance rating and reporting		2017		CDP			63616	0	
Abasan Al-Kabira	State of Palestine	South and West Asia	Finance and Economic Development		Developing the green economy		2017		CDP			63616	0	
Abasan Al-Kabira	State of Palestine	South and West Asia	Buildings		Switching to low-carbon fuels		2017		CDP			63616	0	
Abington 	USA	North America	Buildings		Energy efficiency/ retrofit measures		2017	Abington Township Annual Energy $avings EXPO.	CDP			58485	45	
Abington 	USA	North America	Waste		Waste prevention policies and programs		2017	"Abington Township Public Works/Highways Department ""Pay as You Throw"" initiative."	CDP			58485	81	
Abington 	USA	North America	Water		Water recycling and reclamation		2017	Rain Barrel the Town program	CDP			58485	28	
Addis Ababa	Ethiopia	Africa	Waste		Recycling or composting collections and/or facilities		2017	"4. The Korale pilot project aims to increase collection of recyclables using collection devices that are efficient and practi- cal, particularly with view on occupational safety and health aspects."	CDP			31146	197	
Barcelona	Spain	Europe	Energy Supply		Low or zero carbon energy supply generation		2017	100% green electricity procurement	CDP			1499	34	
Barcelona	Spain	Europe	Buildings		Building codes and standards		2017	Edification Technical Code (National law) and Solar Ordinance	CDP			1499	61	
Barcelona	Spain	Europe	Buildings		Energy efficiency/ retrofit measures		2017	Grants for the energetic improvement of buildings and houses and incorporation of renewable energy	CDP			1499	98	
Barcelona	Spain	Europe	Outdoor Lighting		LED / CFL / other luminaire technologies		2017	Lighting Director Plan	CDP			1499	22	
Barcelona	Spain	Europe	Energy Supply		Low or zero carbon energy supply generation		2017	Program to impuls solar generation in Barcelona	CDP			1499	47	
Barcelona	Spain	Europe	Private Transport		Awareness and education for non motorized transport		2017		CDP			1499	0	
Barcelona	Spain	Europe	Private Transport		Infrastructure for non motorized transport		2017		CDP			1499	0	
